siteId,siteBaseURL,overlapAll,overLapAllPercentage,overlapAhrefsOpportunities,overlapAhrefsOpportunitiesPercentage,overlapRumOpportunities,overlapRumOpportunitiesPercentage
"92d24fa2-5e99-4d43-8799-84cba3385ae1","www.qualcomm.com",68,34,189,94.5,127,63.5
"9b12429a-60ed-4e3b-9719-978b1c9d8397","www.breville.com",21,10.5,169,84.5,29,14.5
"94d5d687-68b0-457f-aac8-760ed8e9045a","www.crucial.com",63,31.5,171,85.5,75,37.5
"7b8f919a-162d-41bb-9869-ef4c7ad057e7","www.micron.com",44,22,107,53.5,52,26
"1baa230b-d2dd-4ece-8803-4f24949faed0","www.t-mobile.com",61,30.5,155,77.5,200,100
"c0b7b282-467e-47aa-b94f-e496265fde9e","www.auspost.com.au",0,0,32,16,0,0
"e043d740-c365-436a-bf30-de5add3d1b7f","www.abbvie.com",117,58.5,197,98.5,131,65.5
"b914bc7b-ec12-460a-899e-42bf252de356","www.continental-tires.com",32,16,86,43,36,18
"393f9fd6-8062-49a5-acb0-a6a601abdc58","www.berkshirepartners.com",0,0,134,67,0,0
"7e7a883c-5009-42dd-bf2e-e4cb3b643503","www.astrazeneca.com",74,37,187,93.5,100,50
"d82b9d5f-4f38-4390-80cc-b55251d420b4","www.humana.com",73,36.5,131,65.5,79,39.5
"9c25d632-420a-432e-8a82-555ba90879dd","www.celestyal.com",15,7.5,25,12.5,18,9
"a8f00731-a43d-43ec-b348-31f57a5072de","www.jet2.com",0,0,153,76.5,0,0
"9ae8877a-bbf3-407d-9adb-d6a72ce3c5e3","www.adobe.com",34,17,200,100,200,100
"da39921f-9a02-41db-b491-02c98330d956","www.bamboohr.com",44,22,197,98.5,117,58.5
"0535e81f-f826-465c-8853-3aad7c1b45ec","www.volvotrucks.us",106,53,147,73.5,131,65.5
"542ad116-ed33-448a-a123-06cbcd7c1d4c","www.sunstar.com",24,12,42,21,50,25
"68ba8c72-aab1-4a45-8bcc-79368d45caa4","www.wilson.com",56,28,199,99.5,156,78
"0983c6da-0dee-45cc-b897-3f1fed6b460b","www.hersheyland.com",99,49.5,165,82.5,113,56.5
"e12c091c-075b-4c94-aab7-398a04412b5c","www.chocolateworld.com",67,33.5,86,43,71,35.5
"14220f09-7bdd-4c91-9adf-adcbe0adf1df","www.westjet.com",75,37.5,195,97.5,145,72.5